address,year,x,y,exact_date
2912 S. Wallace st.,1923.000000000000000,-87.641666000000001,41.841461000000002,1923-08-25
Western and Washington,1923.000000000000000,-87.686455249999995,41.883029540000003,1923-08-26
956 W 19th st,1923.000000000000000,-87.650310000000005,41.856836999999999,1923-08-26
2911 S. Canal st.,1923.000000000000000,-87.637614999999997,41.841493000000000,1923-08-27
321 E. 46th st.,1923.000000000000000,-87.618955999999997,41.811008000000001,1923-08-27
3328 State st.,1923.000000000000000,-87.626824380000002,41.834381809999996,1923-08-28
1245 Ohio st.,1923.000000000000000,-87.658589000000006,41.892363000000003,1923-08-29
6107 Vernon,1923.000000000000000,-87.614276000000004,41.783633999999999,1923-08-31
4239 Kedzie av,1923.000000000000000,-87.707955999999996,41.958345000000001,1923-09-01
847 H May,1923.000000000000000,-87.655114999999995,41.897571999999997,1923-09-03
1325 Cortland st.,1923.000000000000000,-87.660839999999993,41.916933999999998,1923-09-03
2505 Fullerton Ave.,1923.000000000000000,-87.690410000000000,41.924762999999999,1923-09-07
443 E 35th,1923.000000000000000,-87.615844999999993,41.831063000000000,1923-09-09
1118 Sedgewick st.,1923.000000000000000,-87.639082999999999,41.901770999999997,1923-09-10
2817 Lowe Ave,1923.000000000000000,-87.642593000000005,41.843190000000000,1923-09-13
57th st. and Cottage Grove ave.,1923.000000000000000,-87.606031889999997,41.791200750000002,1923-09-13
6300 Milwaukkee av,1923.000000000000000,-87.655299999999997,41.871499999999997,1923-09-16
"Laflin st, between north and south drives of Garfi",1923.000000000000000,-87.662079329999997,41.793776430000001,1923-09-17
Laflin st. between north & south drivers of Garfie,1923.000000000000000,-87.662079329999997,41.793776430000001,1923-09-17
Desplaines & Monroe,1923.000000000000000,-87.644076350000006,41.880489390000001,1923-09-17
1160 W. 18th st.,1923.000000000000000,-87.655452999999994,41.858136999999999,1923-09-18
Keeler ave. and Hirsh st.,1923.000000000000000,-87.731130120000003,41.906030029999997,1923-09-19
104th st. & Ewing ave.,1923.000000000000000,-87.535328870000001,41.706369299999999,1923-09-19
2201 So. Crawford Ave.,1923.000000000000000,-87.721699999999998,41.727919999999997,1923-09-21
13th & Spaulding av.,1923.000000000000000,-87.708063129999999,41.864511329999999,1923-09-22
559 Taylor st.,1923.000000000000000,-87.641379999999998,41.869562999999999,1923-09-23
1102 S. Jefferson,1923.000000000000000,-87.642382999999995,41.868566999999999,1923-09-24
3127 S. State st.,1923.000000000000000,-87.626399000000006,41.837729000000003,1923-09-25
2103 S. Michigan ave.,1923.000000000000000,-87.623615000000001,41.854132999999997,1923-09-28
619 So. Sangamon St.,1923.000000000000000,-87.650819999999996,41.880659999999999,1923-09-30
51 E. 26thst.,1923.000000000000000,-87.625088000000005,41.845463000000002,1923-10-03
Clark and Hollywood av,1923.000000000000000,-87.669074539999997,41.985270270000001,1923-10-04
3631 Cincennes Ave.,1923.000000000000000,-87.611258000000007,41.828173000000000,1923-10-06
2914 S. Throop st.,1923.000000000000000,-87.652192999999997,41.840964999999997,1923-10-07
State and Kinzie,1923.000000000000000,-87.627983090000001,41.889243680000000,1923-10-08
2900 S LaSalle,1923.000000000000000,-87.630230999999995,41.840094000000001,1923-10-10
Belmont / Greenview aves.,1923.000000000000000,-87.661414149999999,41.939796979999997,1923-10-13
328 N cicero,1923.000000000000000,-87.745683000000000,41.886308000000000,1923-10-14
Wells and Roosevelt,1923.000000000000000,-87.633519170000000,41.867259840000003,1923-10-14
Washtenaw av and VanBuren,1923.000000000000000,-87.693686490000005,41.875999960000001,1923-10-15
525 N. Homan ave.,1923.000000000000000,-87.655184000000006,41.977161000000002,1923-10-17
87th and Muskegaon,1923.000000000000000,-87.555048470000003,41.737311579999997,1923-10-19
26th st. & Kedzie ave.,1923.000000000000000,-87.705080510000002,41.844485169999999,1923-10-19
541 Maxwell st.,1923.000000000000000,-87.641234999999995,41.864719000000001,1923-10-19
1353 S. Morgan st.,1923.000000000000000,-87.650774999999996,41.864229999999999,1923-10-21
41st and Halsted,1923.000000000000000,-87.645857329999998,41.820263199999999,1923-10-22
1942 Archer ave.,1923.000000000000000,-87.628309999999999,41.856175999999998,1923-10-23
1558 Clybourn av,1923.000000000000000,-87.648076000000003,41.909720000000000,1923-10-25
914 W. Polk st.,1923.000000000000000,-87.653480000000002,41.871800000000000,1923-10-27
914 W. Polk st.,1923.000000000000000,-87.653480000000002,41.871800000000000,1923-10-27
56th st. and Cottage Grove Ave.,1923.000000000000000,-87.606117729999994,41.793008540000002,1923-10-31
4423 Vincennes ave.,1923.000000000000000,-87.613815000000002,41.814616000000001,1923-11-03
4555 S. Justine st.,1923.000000000000000,-87.663661000000005,41.811222000000001,1923-11-03
3051 Lincoln Ave.,1923.000000000000000,-87.664807999999994,41.937125999999999,1923-11-04
Clark and Schiller,1923.000000000000000,-87.631545070000001,41.907786670000000,1923-11-04
Congress & Throop Sts,1923.000000000000000,-87.659783360000006,41.875296960000000,1923-11-05
Drexel Blvd at 41st st.,1923.000000000000000,-87.605302330000001,41.820535049999997,1923-11-08
Drexel Blvd and 41st,1923.000000000000000,-87.605302330000001,41.820535049999997,1923-11-08
Potomac / Washtenaw aves.,1923.000000000000000,-87.694458960000006,41.904736470000003,1923-11-12
637 S. Aberdeen st.,1923.000000000000000,-87.654700000000005,41.881279999999997,1923-11-17
2416 Wabash av,1923.000000000000000,-87.625583000000006,41.849027999999997,1923-11-17
4034 S. State st.,1923.000000000000000,-87.626582999999997,41.821173999999999,1923-11-18
20 W. Huron st.,1923.000000000000000,-87.628934000000001,41.895037000000002,1923-11-24
Morgan st. and Grand Ave.,1923.000000000000000,-87.652273179999995,41.891080649999999,1923-11-24
2237 Ferdinand,1923.000000000000000,-87.735391000000007,41.850651999999997,1923-11-25
Monroe st. and Hoyne Ave.,1923.000000000000000,-87.679052350000006,41.879978160000000,1923-11-26
47 W 30th st,1923.000000000000000,-87.627684000000002,41.839362999999999,1923-11-27
1159 Jackson Blvd.,1923.000000000000000,-87.655994000000007,41.877662999999998,1923-11-29
2315 Dearbron st.,1923.000000000000000,-87.628015000000005,41.849032000000001,1923-12-01
3502 State st,1923.000000000000000,-87.626783000000003,41.830846000000001,1923-12-03
3033 Cottage Grove ave.,1923.000000000000000,-87.613538000000005,41.839297999999999,1923-12-04
4408 Indiana ave.,1923.000000000000000,-87.621567999999996,41.814450000000001,1923-12-04
1149 W Adams,1923.000000000000000,-87.655838000000003,41.878962999999999,1923-12-04
3114 Vernon Ave,1923.000000000000000,-87.615583000000001,41.838039000000002,1923-12-05
626 Diversey Pkwy,1923.000000000000000,-87.644603000000004,41.932937000000003,1923-12-07
2920 Quinn st.,1923.000000000000000,-87.650360000000006,41.840493000000002,1923-12-08
42nd and State sts.,1923.000000000000000,-87.626287939999997,41.818296259999997,1923-12-08
10828 Torrence av,1923.000000000000000,-87.559749999999994,41.698638000000003,1923-12-08
3501 Wabash,1923.000000000000000,-87.624314999999996,41.830948999999997,1923-12-12
32nd st. and Michigan ave.,1923.000000000000000,-87.623412610000003,41.836428179999999,1923-12-13
1309 S jefferson,1923.000000000000000,-87.641900000000007,41.864530000000002,1923-12-13
1435 State St,1923.000000000000000,-87.627054000000001,41.863036000000001,1923-12-15
Garibaldi Pl / Taylor st,1923.000000000000000,-87.664074900000003,41.869496910000002,1923-12-15
5213 State st.,1923.000000000000000,-87.625658999999999,41.799765999999998,1923-12-15
414 E. 33 St.,1923.000000000000000,-87.615689000000003,41.834266000000000,1923-12-16
2623 Princeton Ave.,1923.000000000000000,-87.634114999999994,41.845111000000003,1923-12-18
2954 Cottage Grove,1923.000000000000000,-87.614377000000005,41.840406000000002,1923-12-18
4402 S Komensky,1923.000000000000000,-87.725173999999996,41.813225000000003,1923-12-20
3060 Prairie ave.,1923.000000000000000,-87.620783000000003,41.838349000000001,1923-12-22
3419 State st,1923.000000000000000,-87.626315000000005,41.832523000000002,1923-12-22
State st. between 62nd and 63rd sts.,1923.000000000000000,-87.625322339999997,41.780832959999998,1923-12-23
LaSalle st between 31st and 32nd sts.,1923.000000000000000,-87.629935739999993,41.837115630000000,1923-12-24
8952 Greenbay ave.,1923.000000000000000,-87.541730999999999,41.732857000000003,1923-12-24
1451 S. State st.,1923.000000000000000,-87.627030000000005,41.862644000000003,1923-12-24
1925 S. Allport st.,1923.000000000000000,-87.657397000000003,41.855777000000003,1923-12-24
1925 S. Allport st.,1923.000000000000000,-87.657397000000003,41.855777000000003,1923-12-24
Southwest corner of Racine ave. and Harrison st.,1923.000000000000000,-87.656993869999994,41.874114620000000,1923-12-25
414 E. 33rd st.,1923.000000000000000,-87.615689000000003,41.834266000000000,1923-12-25
225 Alexander st.,1923.000000000000000,-87.621335999999999,41.851931000000000,1923-12-26
corner of Grenshaw st. and Independence Blvd.,1923.000000000000000,-87.719993590000001,41.867036130000002,1923-12-27
